Sample #	FP2_COP_X	FP2_COP:Y	FP2_COP:Z	FP2_Ref_X	FP2_Ref_Y	FP2_Ref_Z	FP2_Force_X	FP2_Force_Y	FP2_Force_Z	FP2_Moment_X	FP2_Moment_Y	FP2_Moment_Z	FP4_COP_X	FP4_COP:Y	FP4_COP:Z	FP4_Ref_X	FP4_Ref_Y	FP4_Ref_Z	FP4_Force_X	FP4_Force_Y	FP4_Force_Z	FP4_Moment_X	FP4_Moment_Y	FP4_Moment_Z
44	136.328335	-324.744114	-0.168362	202.900345	-304.364990	-0.079583	-13.985566	7.026555	320.470341	-6531.415959	21335.973731	11.993413	-119.928470	-292.752651	-0.087233	-199.669022	-305.422272	-0.130892	12.614181	-2.115419	297.553855	3770.779781	-23726.990700	-1650.792855
45	136.702277	-325.936530	-0.167221	202.900345	-304.364990	-0.079583	-14.337709	7.024048	319.053314	-6883.132205	21122.393929	85.979588	-119.998951	-293.525562	-0.087022	-199.669022	-305.422272	-0.130892	12.614854	-2.557437	298.263473	3549.187977	-23762.512785	-1557.985834
46	136.110873	-325.295466	-0.168414	202.900345	-304.364990	-0.079583	-14.694509	7.111308	320.469248	-6708.231366	21405.705659	86.099838	-120.118521	-292.634175	-0.087385	-199.669022	-305.422272	-0.130892	12.967231	-1.848957	298.263452	3815.048630	-23726.850148	-1557.838117
47	136.406613	-325.753150	-0.167750	202.900345	-304.364990	-0.079583	-14.512721	6.404863	319.761612	-6839.740488	21263.819205	67.373654	-120.098077	-293.313579	-0.087151	-199.669022	-305.422272	-0.130892	13.055147	-2.113390	300.391980	3638.196103	-23902.311834	-1576.472527
48	136.700028	-325.590654	-0.167394	202.900345	-304.364990	-0.079583	-14.514602	6.670163	320.115605	-6795.238103	21193.413907	30.272762	-120.373685	-293.661354	-0.087202	-199.669022	-305.422272	-0.130892	12.437560	-2.381093	297.908573	3504.515574	-23622.617500	-1558.058411
49	135.810839	-324.697547	-0.169153	202.900345	-304.364990	-0.079583	-14.603393	7.022690	319.052921	-6487.773293	21406.823248	67.825693	-119.093760	-293.275239	-0.086561	-199.669022	-305.422272	-0.130892	12.881943	-2.557590	295.780509	3593.641173	-23832.387862	-1483.593030
50	136.735246	-325.130006	-0.167569	202.900345	-304.364990	-0.079583	-13.893473	6.849386	318.699933	-6618.545940	21088.480331	160.792089	-120.539615	-293.406409	-0.087385	-199.669022	-305.422272	-0.130892	12.435604	-1.850045	298.972607	3593.250922	-23657.397127	-1557.993826
51	136.989542	-325.085847	-0.167213	202.900345	-304.364990	-0.079583	-14.518059	6.935986	321.531944	-6663.007331	21194.099096	49.069452	-119.623237	-294.132277	-0.086598	-199.669022	-305.422272	-0.130892	12.790830	-2.203081	298.618199	3372.281917	-23902.990880	-1632.388821
52	137.204884	-324.262112	-0.167299	202.900345	-304.364990	-0.079583	-14.339130	6.583390	321.532383	-6398.075048	21124.836157	12.295142	-119.696398	-294.010665	-0.086682	-199.669022	-305.422272	-0.130892	12.967911	-2.379308	299.327836	3416.636994	-23937.852172	-1539.422207
53	137.027299	-324.900419	-0.167248	202.900345	-304.364990	-0.079583	-14.072246	6.760802	320.116217	-6574.211197	21088.623352	-6.549239	-119.507127	-293.686675	-0.086674	-199.669022	-305.422272	-0.130892	12.703394	-2.645551	298.618291	3505.309379	-23937.644073	-1576.540631
54	136.845325	-324.991118	-0.167474	202.900345	-304.364990	-0.079583	-14.779087	6.844859	318.698621	-6574.113553	21053.340713	49.270605	-119.392150	-292.795765	-0.086897	-199.669022	-305.422272	-0.130892	12.968117	-2.291091	298.618334	3771.321650	-23971.965141	-1539.198396
55	137.550861	-325.563990	-0.166145	202.900345	-304.364990	-0.079583	-14.156373	6.405977	318.345665	-6749.139593	20805.311004	11.931251	-120.213867	-293.608989	-0.087123	-199.669022	-305.422272	-0.130892	12.967493	-2.467410	300.392043	3549.448876	-23867.524172	-1557.951302
56	136.402130	-325.061234	-0.168097	202.900345	-304.364990	-0.079583	-14.423716	6.934523	317.636756	-6574.695285	21124.026244	198.041256	-119.951632	-294.442779	-0.086693	-199.669022	-305.422272	-0.130892	12.969222	-2.821674	298.973245	3283.435609	-23833.195294	-1595.293539
57	137.354809	-323.722452	-0.167341	202.900345	-304.364990	-0.079583	-13.802275	6.231385	319.054499	-6176.698124	20914.195024	105.731209	-119.860988	-292.796930	-0.087178	-199.669022	-305.422272	-0.130892	12.614642	-2.557321	298.618209	3770.996110	-23831.977751	-1576.415934
58	136.917223	-324.691892	-0.167514	202.900345	-304.364990	-0.079583	-14.336354	6.758921	319.053447	-6485.996676	21053.809702	86.602718	-120.165622	-293.419488	-0.087156	-199.669022	-305.422272	-0.130892	12.702749	-2.556868	299.327735	3593.654495	-23797.440776	-1650.875985
59	136.474669	-324.694154	-0.168170	202.900345	-304.364990	-0.079583	-14.160586	7.024953	319.053577	-6486.939213	21195.091959	235.338101	-120.186174	-294.295097	-0.086882	-199.669022	-305.422272	-0.130892	12.438241	-2.911444	298.972956	3327.509210	-23763.033026	-1465.189468
60	136.769734	-324.598635	-0.167779	202.900345	-304.364990	-0.079583	-14.688646	6.580012	318.344790	-6441.937993	21054.044197	105.268783	-120.258999	-293.729512	-0.087111	-199.669022	-305.422272	-0.130892	12.878945	-2.290962	299.682490	3504.928105	-23797.618451	-1520.828993
61	135.881473	-324.808730	-0.168994	202.900345	-304.364990	-0.079583	-14.329661	5.962673	317.283247	-6487.106856	21265.640278	105.097688	-119.602243	-293.700600	-0.086727	-199.669022	-305.422272	-0.130892	13.322917	-2.643895	298.973399	3505.320522	-23937.650157	-1595.126320
62	136.878422	-324.393894	-0.167718	202.900345	-304.364990	-0.079583	-14.244705	6.052545	319.408057	-6398.032655	21089.579625	105.316469	-119.198007	-293.956018	-0.086401	-199.669022	-305.422272	-0.130892	12.526313	-2.469323	297.908655	3416.701650	-23972.834034	-1502.238833
63	137.539424	-323.976456	-0.166943	202.900345	-304.364990	-0.079583	-14.069388	6.406952	319.408143	-6264.468903	20878.361068	-43.187716	-119.932114	-293.270820	-0.087065	-199.669022	-305.422272	-0.130892	12.880036	-2.644878	299.327870	3638.064571	-23867.285655	-1502.140671
64	136.914398	-324.139217	-0.167790	202.900345	-304.364990	-0.079583	-13.978043	5.965354	319.054369	-6309.512515	21054.665362	-6.139692	-119.881945	-293.376660	-0.087000	-199.669022	-305.422272	-0.130892	12.791042	-2.203197	298.263463	3593.621067	-23797.422524	-1595.119284
65	136.698040	-325.107526	-0.167635	202.900345	-304.364990	-0.079583	-14.424463	6.670093	319.053360	-6618.505514	21123.709421	11.968548	-119.767396	-294.628294	-0.086522	-199.669022	-305.422272	-0.130892	13.054700	-1.848157	300.037156	3239.448707	-23973.298897	-1576.688350
66	137.279952	-324.304907	-0.167166	202.900345	-304.364990	-0.079583	-14.245904	5.876491	320.824647	-6397.714163	21054.223806	12.330403	-119.741559	-293.687258	-0.086815	-199.669022	-305.422272	-0.130892	12.701856	-2.026401	298.618088	3505.090886	-23867.616052	-1502.220285
67	136.810645	-325.313743	-0.167366	202.900345	-304.364990	-0.079583	-14.067737	6.494631	317.991627	-6662.381279	21017.679224	235.164970	-120.890273	-293.329597	-0.087620	-199.669022	-305.422272	-0.130892	12.612926	-2.379724	300.746538	3637.685463	-23692.301003	-1595.127278
68	137.320491	-324.391635	-0.167063	202.900345	-304.364990	-0.079583	-14.598951	6.050735	319.407532	-6397.338562	20948.377742	123.987723	-120.167128	-294.225097	-0.086894	-199.669022	-305.422272	-0.130892	12.878533	-2.467398	301.101462	3372.302022	-23937.956218	-1520.862567
69	137.763964	-324.665403	-0.166270	202.900345	-304.364990	-0.079583	-14.509486	5.874437	319.407751	-6484.650932	20806.672233	30.923906	-119.483351	-294.441615	-0.086413	-199.669022	-305.422272	-0.130892	12.880029	-2.556545	298.973105	3283.738864	-23973.170515	-1520.904136
70	137.725741	-323.880015	-0.166713	202.900345	-304.364990	-0.079583	-14.420324	5.962916	318.699587	-6220.089831	20772.767795	124.337145	-119.813336	-294.010955	-0.086752	-199.669022	-305.422272	-0.130892	12.790404	-2.202849	299.327671	3416.561175	-23902.856413	-1558.019406
71	136.546901	-324.388501	-0.168213	202.900345	-304.364990	-0.079583	-14.506332	5.873392	317.283029	-6353.682598	21054.467451	49.597199	-119.101699	-294.091312	-0.086299	-199.669022	-305.422272	-0.130892	12.615499	-2.646119	297.554030	3372.400107	-23972.956332	-1539.437237
