Sample #	FP2_COP_X	FP2_COP:Y	FP2_COP:Z	FP2_Ref_X	FP2_Ref_Y	FP2_Ref_Z	FP2_Force_X	FP2_Force_Y	FP2_Force_Z	FP2_Moment_X	FP2_Moment_Y	FP2_Moment_Z	FP4_COP_X	FP4_COP:Y	FP4_COP:Z	FP4_Ref_X	FP4_Ref_Y	FP4_Ref_Z	FP4_Force_X	FP4_Force_Y	FP4_Force_Z	FP4_Moment_X	FP4_Moment_Y	FP4_Moment_Z
349	148.424599	-294.886925	-0.165093	202.900341	-304.364990	-0.079583	-16.305717	8.314188	268.056199	2538.615968	14604.866690	1554.029027	-126.323968	-267.142608	-0.099450	-199.669022	-305.422272	-0.130892	16.752580	-3.064327	339.415085	12993.927388	-24894.510806	-2760.025547
350	148.261243	-295.441900	-0.165063	202.900341	-304.364990	-0.079583	-17.190798	7.691905	269.825793	2405.607788	14745.412778	1572.363360	-126.866659	-267.104096	-0.099788	-199.669022	-305.422272	-0.130892	16.574847	-2.711084	339.060127	12993.528173	-24684.560815	-2964.536699
351	148.796536	-295.626199	-0.164178	202.900341	-304.364990	-0.079583	-16.393441	7.431201	270.535357	2361.980191	14639.308066	1628.153104	-125.990859	-266.992566	-0.099300	-199.669022	-305.422272	-0.130892	16.310302	-2.623990	336.931552	12949.448747	-24824.629427	-2797.246484
352	148.302951	-294.421193	-0.165503	202.900341	-304.364990	-0.079583	-16.922634	7.515990	268.763928	2670.513746	14676.147270	1554.189727	-125.786680	-265.544904	-0.099651	-199.669022	-305.422272	-0.130892	16.398396	-2.446871	336.931547	13437.196267	-24893.421648	-2796.931546
353	148.806730	-294.529348	-0.164702	202.900341	-304.364990	-0.079583	-16.833324	7.780872	267.347425	2627.455005	14464.129532	1591.431670	-126.040771	-267.102044	-0.099294	-199.669022	-305.422272	-0.130892	16.132178	-2.712184	339.059862	12994.134729	-24964.528837	-2815.759107
354	148.699464	-294.911227	-0.164673	202.900341	-304.364990	-0.079583	-16.211431	6.989359	268.765243	2538.658344	14569.613088	1647.050811	-126.455324	-266.449418	-0.099756	-199.669022	-305.422272	-0.130892	16.663161	-2.622414	339.060151	13215.485259	-24824.017305	-2945.772280
355	147.487247	-294.700982	-0.166576	202.900341	-304.364990	-0.079583	-16.389614	7.606385	267.348169	2581.426463	14816.973592	1684.194220	-126.504863	-266.660992	-0.099716	-199.669022	-305.422272	-0.130892	16.307502	-2.180812	339.769266	13171.251076	-24859.129271	-2945.787306
356	148.008649	-293.379209	-0.166452	202.900341	-304.364990	-0.079583	-16.213394	7.784041	267.348344	2934.974313	14677.517641	1591.783130	-126.197372	-266.760457	-0.099499	-199.669022	-305.422272	-0.130892	16.487617	-3.065336	338.350718	13082.508906	-24859.300874	-2797.155361
357	148.637951	-294.596736	-0.164919	202.900341	-304.364990	-0.079583	-16.480803	7.606803	269.118666	2626.567697	14605.390565	1702.965998	-126.018002	-266.195036	-0.099577	-199.669022	-305.422272	-0.130892	16.486071	-2.357852	337.995749	13259.987161	-24893.910849	-2945.722721
358	148.859772	-294.173056	-0.164798	202.900341	-304.364990	-0.079583	-16.658746	7.253267	270.889177	2758.811025	14641.317895	1591.539483	-125.731726	-266.839819	-0.099194	-199.669022	-305.422272	-0.130892	16.131519	-2.446834	339.059774	13083.164368	-25069.377125	-3020.115059
